event_id,flight_id,event_type,severity,reported_at,resolved_hours
EV200879,FL005069,Technical Defect,Low,2025-09-30 15:06:00,5.4
EV200880,FL006058,Crew Issue,Low,2025-05-25 14:39:00,4.2
EV200881,FL001878,Cleaning Issue,Medium,2025-09-25 07:47:00,1.4
EV200882,FL001511,Cleaning Issue,Low,2025-06-28 13:42:00,1.9
EV200883,FL007618,Fuel Issue,Medium,2025-01-02 09:14:00,1.2
EV200884,FL003012,Technical Defect,Medium,2025-12-26 19:03:00,2.4
EV200885,FL006406,Delay,Low,2025-10-07 05:21:00,5.3
EV200886,FL000466,Delay,Critical,2025-01-27 14:19:00,2.0
EV200887,FL007260,Delay,Critical,2025-05-24 20:21:00,2.3
EV200888,FL007097,Technical Defect,High,2025-08-26 21:37:00,2.9
EV200889,FL005875,Delay,Low,2025-01-08 10:10:00,0.8
EV200890,FL002386,Baggage Issue,Medium,2025-03-16 07:26:00,3.5
EV200891,FL000665,Fuel Issue,Medium,2025-12-28 19:11:00,3.2
EV200892,FL001719,Crew Issue,Low,2025-09-22 20:11:00,3.3
EV200893,FL004281,Delay,Medium,2025-11-15 14:38:00,1.2
EV200894,FL007830,Delay,Medium,2025-11-23 19:08:00,9.7
EV200895,FL005782,Cleaning Issue,Low,2025-05-11 20:09:00,10.2
EV200896,FL003929,Cleaning Issue,Medium,2025-10-21 08:47:00,2.3
EV200897,FL005070,Cleaning Issue,High,2025-09-06 17:30:00,0.4
EV200898,FL006065,Cleaning Issue,Medium,2025-08-13 21:32:00,0.1
EV200899,FL005624,Delay,High,2025-08-21 19:53:00,1.1
EV200900,FL000872,Crew Issue,Low,2025-03-15 10:01:00,1.2
EV200901,FL004401,Delay,Medium,2025-12-26 13:16:00,2.5
EV200902,FL007388,Delay,Medium,2025-02-27 21:07:00,1.6
EV200903,FL005200,Technical Defect,Low,2025-03-09 14:34:00,1.9
EV200904,FL003107,Crew Issue,Low,2025-11-22 11:05:00,6.3
EV200905,FL004607,Technical Defect,Low,2025-03-21 16:15:00,1.8
EV200906,FL005911,Delay,Medium,2025-01-26 09:14:00,7.9
EV200907,FL000643,Cleaning Issue,Low,2025-09-01 06:19:00,2.9
EV200908,FL001512,Delay,Low,2025-04-25 10:54:00,3.1
EV200909,FL004808,Crew Issue,High,2025-01-28 08:16:00,5.5
EV200910,FL000757,Crew Issue,High,2025-03-12 16:52:00,6.3
EV200911,FL003828,Delay,Medium,2025-10-26 16:11:00,4.1
EV200912,FL006249,Technical Defect,Medium,2025-02-25 09:38:00,2.9
EV200913,FL004146,Delay,Medium,2025-03-22 07:12:00,2.0
EV200914,FL006610,Crew Issue,Medium,2025-08-25 06:23:00,0.4
EV200915,FL000614,Crew Issue,Medium,2025-10-07 11:37:00,5.8
EV200916,FL003796,Delay,Medium,2025-07-23 19:45:00,4.7
EV200917,FL007426,Baggage Issue,Low,2025-02-26 19:14:00,1.9
EV200918,FL004933,Technical Defect,Low,2025-04-21 17:11:00,1.8
EV200919,FL006891,Gate Change,Medium,2025-09-27 11:01:00,6.5
EV200920,FL003303,Baggage Issue,Medium,2025-06-19 09:46:00,0.1
EV200921,FL000411,Fuel Issue,High,2025-01-30 15:16:00,3.0
EV200922,FL002505,Technical Defect,Low,2025-11-17 05:04:00,2.6
EV200923,FL007389,Baggage Issue,Medium,2025-02-09 20:14:00,5.8
EV200924,FL001812,Delay,Medium,2025-09-06 12:47:00,4.6
EV200925,FL006930,Technical Defect,Medium,2025-01-18 13:34:00,1.0
EV200926,FL005221,Delay,Medium,2025-06-01 06:25:00,1.7
EV200927,FL006382,Technical Defect,High,2025-08-28 20:30:00,3.3
EV200928,FL007787,Technical Defect,High,2025-03-04 05:21:00,1.8
EV200929,FL007642,Cleaning Issue,High,2025-03-03 10:17:00,0.8
EV200930,FL004164,Delay,Medium,2025-08-27 19:38:00,1.1
EV200931,FL005419,Cleaning Issue,Low,2025-05-13 21:26:00,8.8
EV200932,FL000921,Delay,Medium,2025-04-12 20:18:00,2.0
EV200933,FL001007,Gate Change,Medium,2025-11-20 16:35:00,3.9
EV200934,FL007599,Delay,High,2025-04-20 19:12:00,0.3
EV200935,FL001314,Cleaning Issue,Medium,2025-04-27 12:32:00,5.3
EV200936,FL000424,Technical Defect,High,2025-10-19 14:28:00,4.0
EV200937,FL000591,Delay,Medium,2025-03-03 05:36:00,5.6
EV200938,FL000128,Delay,Medium,2025-06-13 20:10:00,0.7
EV200939,FL003444,Crew Issue,High,2025-09-01 15:50:00,10.1
EV200940,FL000692,Fuel Issue,Low,2025-01-26 14:04:00,6.9
EV200941,FL001345,Crew Issue,High,2025-02-28 13:40:00,0.7
EV200942,FL007236,Technical Defect,High,2025-12-01 12:47:00,1.8
EV200943,FL000284,Cleaning Issue,Critical,2025-09-23 07:52:00,4.0
EV200944,FL000960,Technical Defect,Low,2025-05-02 15:18:00,0.8
EV200945,FL004246,Delay,High,2025-06-12 13:42:00,8.5
EV200946,FL001700,Delay,Low,2025-05-17 16:47:00,5.1
EV200947,FL002522,Baggage Issue,Low,2025-12-07 08:40:00,1.8
EV200948,FL003820,Crew Issue,Low,2025-09-28 06:30:00,4.6
EV200949,FL001632,Baggage Issue,Low,2025-03-28 07:26:00,1.9
EV200950,FL005990,Delay,Low,2025-02-02 13:13:00,8.9
EV200951,FL005759,Technical Defect,High,2025-06-26 19:59:00,3.3
EV200952,FL000145,Delay,Medium,2025-10-21 05:20:00,3.8
EV200953,FL004709,Cleaning Issue,Medium,2025-11-06 07:20:00,1.1
EV200954,FL002738,Delay,High,2025-02-08 12:38:00,2.2
EV200955,FL004531,Cleaning Issue,High,2025-08-25 17:48:00,6.4
EV200956,FL005384,Technical Defect,Critical,2025-06-17 10:13:00,2.3
EV200957,FL002900,Gate Change,High,2025-03-18 21:34:00,1.0
EV200958,FL005002,Baggage Issue,High,2025-07-16 13:09:00,0.7
EV200959,FL006206,Fuel Issue,Low,2025-01-26 18:51:00,3.5
EV200960,FL006603,Baggage Issue,Medium,2025-01-21 06:39:00,0.5
EV200961,FL001252,Technical Defect,Low,2025-07-23 12:58:00,0.2
EV200962,FL004553,Delay,Low,2025-03-04 06:46:00,3.6
EV200963,FL003651,Delay,Low,2025-07-27 14:01:00,0.2
EV200964,FL007398,Baggage Issue,Medium,2025-12-23 13:31:00,3.3
EV200965,FL003180,Technical Defect,High,2025-03-22 09:59:00,2.9
EV200966,FL001937,Crew Issue,Medium,2025-09-20 20:53:00,1.8
EV200967,FL006542,Crew Issue,Medium,2025-10-16 20:05:00,2.7
EV200968,FL003224,Delay,Low,2025-02-17 09:39:00,4.3
EV200969,FL001531,Delay,Low,2025-03-29 20:48:00,7.6
EV200970,FL004418,Technical Defect,High,2025-03-21 15:13:00,2.4
EV200971,FL008108,Delay,Low,2025-12-21 07:00:00,3.3
EV200972,FL002448,Delay,Medium,2025-08-02 12:10:00,1.0
EV200973,FL001306,Technical Defect,Low,2025-09-16 08:47:00,3.3
EV200974,FL003875,Technical Defect,Low,2025-02-14 20:28:00,2.5
EV200975,FL003615,Delay,Medium,2025-08-09 09:45:00,4.0
EV200976,FL002457,Delay,Medium,2025-07-22 17:20:00,0.9
EV200977,FL004983,Delay,Low,2025-08-27 06:50:00,10.6
EV200978,FL000171,Cleaning Issue,High,2025-06-12 10:26:00,2.0
EV200979,FL003471,Baggage Issue,Low,2025-01-03 17:12:00,3.5
EV200980,FL001096,Delay,Medium,2025-08-30 05:18:00,0.1
EV200981,FL007195,Gate Change,Medium,2025-05-12 09:05:00,2.9
EV200982,FL004522,Baggage Issue,Medium,2025-04-08 17:16:00,3.6
EV200983,FL005292,Gate Change,Medium,2025-11-12 19:40:00,6.0
EV200984,FL004936,Gate Change,Low,2025-03-06 17:29:00,3.9
EV200985,FL005597,Fuel Issue,Medium,2025-12-02 08:08:00,8.2
EV200986,FL005596,Fuel Issue,Low,2025-06-28 20:20:00,6.3
EV200987,FL007241,Delay,Low,2025-03-13 14:23:00,0.6
EV200988,FL005031,Technical Defect,Low,2025-11-04 14:01:00,8.4
EV200989,FL001061,Technical Defect,Medium,2025-11-23 16:27:00,2.2
EV200990,FL003056,Delay,High,2025-12-11 16:34:00,2.8
EV200991,FL003673,Cleaning Issue,Low,2025-05-17 15:58:00,0.5
EV200992,FL007437,Cleaning Issue,Medium,2025-12-03 16:59:00,5.7
EV200993,FL003301,Baggage Issue,Medium,2025-09-11 19:20:00,2.4
EV200994,FL007125,Delay,Low,2025-05-24 09:26:00,2.5
EV200995,FL006169,Delay,Medium,2025-11-16 10:54:00,3.0
EV200996,FL003218,Delay,High,2025-07-06 21:36:00,5.1
EV200997,FL006919,Gate Change,High,2025-03-24 13:04:00,7.7
EV200998,FL003892,Delay,Medium,2025-10-01 17:16:00,0.5
EV200999,FL003696,Crew Issue,Medium,2025-02-20 15:10:00,2.1
EV201000,FL001071,Cleaning Issue,Low,2025-04-18 17:05:00,1.2
EV201001,FL000962,Delay,Low,2025-06-22 19:59:00,5.9
EV201002,FL004529,Cleaning Issue,Medium,2025-08-07 05:06:00,4.8
EV201003,FL006254,Technical Defect,Low,2025-08-15 16:31:00,3.9
EV201004,FL006969,Technical Defect,Medium,2025-10-26 07:41:00,2.6
EV201005,FL006434,Delay,Low,2025-07-26 06:50:00,5.2
EV201006,FL003700,Delay,Medium,2025-07-04 19:21:00,3.3
EV201007,FL002263,Crew Issue,Medium,2025-09-05 08:52:00,4.3
EV201008,FL003348,Baggage Issue,High,2025-07-06 11:08:00,7.2
EV201009,FL001409,Crew Issue,Low,2025-12-01 13:34:00,4.3
EV201010,FL004294,Delay,High,2025-05-23 13:21:00,2.5
EV201011,FL001162,Crew Issue,Medium,2025-02-12 19:33:00,1.4
EV201012,FL006223,Baggage Issue,Medium,2025-08-13 19:26:00,1.4
EV201013,FL000831,Technical Defect,Medium,2025-12-17 20:48:00,1.9
EV201014,FL003354,Delay,Low,2025-03-17 10:42:00,3.8
EV201015,FL002386,Baggage Issue,Low,2025-03-01 10:49:00,7.6
EV201016,FL005129,Cleaning Issue,Medium,2025-06-04 15:51:00,1.3
EV201017,FL005883,Crew Issue,High,2025-12-06 05:15:00,6.9
EV201018,FL003205,Cleaning Issue,High,2025-04-13 18:23:00,1.7
EV201019,FL002348,Delay,Low,2025-10-04 20:43:00,7.7
EV201020,FL007552,Baggage Issue,Low,2025-04-10 08:40:00,1.7
EV201021,FL006881,Technical Defect,Medium,2025-10-23 14:30:00,1.6
EV201022,FL006931,Technical Defect,Medium,2025-04-06 16:20:00,0.6
EV201023,FL002746,Delay,Low,2025-11-15 07:20:00,2.1
EV201024,FL000353,Baggage Issue,Medium,2025-07-01 19:14:00,1.9
EV201025,FL005793,Crew Issue,Medium,2025-02-11 07:35:00,4.3
EV201026,FL001714,Gate Change,High,2025-12-09 06:28:00,1.3
EV201027,FL001739,Baggage Issue,Low,2025-08-30 06:04:00,3.3
EV201028,FL006545,Technical Defect,High,2025-01-02 17:29:00,1.8
EV201029,FL000940,Technical Defect,High,2025-05-07 10:40:00,5.5
EV201030,FL006864,Delay,Medium,2025-11-21 16:10:00,4.9
EV201031,FL001984,Delay,High,2025-05-19 21:06:00,4.6
EV201032,FL002716,Technical Defect,Medium,2025-12-14 08:46:00,0.1
EV201033,FL005145,Cleaning Issue,Medium,2025-07-11 16:52:00,1.3
EV201034,FL005674,Cleaning Issue,Medium,2025-02-14 15:35:00,5.8
EV201035,FL005456,Fuel Issue,Medium,2025-08-06 16:15:00,1.6
EV201036,FL004167,Technical Defect,Low,2025-01-23 08:06:00,5.4
EV201037,FL005095,Crew Issue,Low,2025-09-13 11:29:00,0.7
EV201038,FL003116,Cleaning Issue,High,2025-01-31 06:42:00,4.2
EV201039,FL003468,Delay,Low,2025-08-11 07:07:00,3.8
EV201040,FL001008,Technical Defect,Medium,2025-03-01 14:58:00,3.9
EV201041,FL004597,Technical Defect,High,2025-03-26 19:43:00,8.3
EV201042,FL002839,Fuel Issue,Medium,2025-03-16 10:39:00,1.1
EV201043,FL007734,Gate Change,Medium,2025-05-13 16:42:00,5.5
EV201044,FL007911,Cleaning Issue,High,2025-08-09 19:07:00,3.3
EV201045,FL000615,Delay,Low,2025-11-10 09:28:00,9.7
EV201046,FL005252,Delay,Low,2025-08-24 14:29:00,2.0
EV201047,FL000679,Gate Change,Medium,2025-09-17 05:46:00,6.3
EV201048,FL002940,Delay,High,2025-11-07 14:03:00,9.0
EV201049,FL004054,Cleaning Issue,Medium,2025-06-17 09:33:00,1.2
EV201050,FL002369,Baggage Issue,Low,2025-02-06 09:29:00,1.8
EV201051,FL006588,Gate Change,Medium,2025-03-30 19:31:00,5.5
EV201052,FL000068,Delay,Medium,2025-12-27 11:39:00,4.4
EV201053,FL007217,Crew Issue,Low,2025-10-31 11:28:00,2.4
EV201054,FL008057,Cleaning Issue,Low,2025-12-29 17:42:00,3.5
EV201055,FL006001,Crew Issue,High,2025-04-03 17:30:00,2.4
EV201056,FL008139,Gate Change,Medium,2025-02-25 05:52:00,2.4
EV201057,FL001815,Baggage Issue,High,2025-11-25 21:38:00,1.6
EV201058,FL005082,Gate Change,Low,2025-12-31 12:36:00,4.7
EV201059,FL006234,Delay,Low,2025-06-10 08:24:00,1.8
EV201060,FL002845,Fuel Issue,Low,2025-12-24 07:37:00,0.6
EV201061,FL001787,Delay,Medium,2025-08-29 07:41:00,3.0
EV201062,FL003164,Delay,High,2025-11-04 07:30:00,3.8
EV201063,FL000123,Cleaning Issue,High,2025-03-25 21:36:00,1.0
EV201064,FL004320,Crew Issue,Low,2025-07-27 10:49:00,3.4
EV201065,FL001253,Gate Change,Low,2025-02-26 12:22:00,1.0
EV201066,FL002587,Delay,Medium,2025-10-03 08:24:00,1.4
EV201067,FL007953,Fuel Issue,Low,2025-03-30 16:28:00,1.5
EV201068,FL000568,Gate Change,Medium,2025-11-08 16:06:00,4.5
EV201069,FL005868,Gate Change,Low,2025-07-22 14:50:00,1.1
EV201070,FL002010,Delay,High,2025-09-07 18:44:00,6.1
EV201071,FL001207,Technical Defect,Medium,2025-09-08 21:06:00,6.7
EV201072,FL004518,Technical Defect,Low,2025-11-25 19:57:00,1.4
EV201073,FL002551,Delay,Medium,2025-06-25 19:42:00,4.4
EV201074,FL005611,Technical Defect,High,2025-05-25 16:38:00,3.8
EV201075,FL007254,Fuel Issue,High,2025-10-14 08:37:00,3.6
EV201076,FL005901,Delay,Low,2025-05-26 16:17:00,7.0
EV201077,FL005862,Delay,Medium,2025-02-25 05:05:00,2.2
EV201078,FL005198,Fuel Issue,Low,2025-08-19 10:22:00,3.4
EV201079,FL002003,Crew Issue,High,2025-12-08 15:42:00,4.1
EV201080,FL003702,Gate Change,Medium,2025-08-21 19:17:00,0.3
EV201081,FL008026,Baggage Issue,Medium,2025-08-07 08:47:00,5.2
EV201082,FL004346,Delay,Low,2025-04-09 09:23:00,9.4
EV201083,FL004782,Crew Issue,Low,2025-05-02 10:04:00,0.4
EV201084,FL005146,Fuel Issue,Medium,2025-08-08 10:26:00,3.6
EV201085,FL004513,Technical Defect,Medium,2025-07-19 05:27:00,2.5
EV201086,FL000938,Fuel Issue,Low,2025-12-10 18:27:00,3.9
EV201087,FL004818,Gate Change,Low,2025-06-10 15:47:00,5.2
EV201088,FL001313,Delay,Medium,2025-09-04 05:35:00,1.7
EV201089,FL006020,Delay,Low,2025-10-22 20:27:00,3.9
EV201090,FL007373,Delay,Low,2025-08-31 21:01:00,7.0
EV201091,FL002164,Cleaning Issue,Medium,2025-04-16 12:16:00,5.7
EV201092,FL002412,Cleaning Issue,High,2025-10-28 05:26:00,4.8
EV201093,FL000197,Delay,Medium,2025-08-16 16:44:00,2.3
EV201094,FL002638,Technical Defect,Low,2025-06-24 19:32:00,2.0
EV201095,FL005344,Cleaning Issue,Low,2025-09-23 11:26:00,3.6
EV201096,FL001442,Gate Change,Low,2025-10-30 08:43:00,3.7
EV201097,FL003893,Crew Issue,Low,2025-12-21 09:51:00,5.8
EV201098,FL006624,Delay,Low,2025-09-26 15:13:00,3.6
EV201099,FL006665,Delay,Low,2025-02-03 21:34:00,5.2
EV201100,FL000281,Delay,Medium,2025-08-06 12:44:00,0.6
EV201101,FL007618,Baggage Issue,Medium,2025-08-14 18:15:00,4.7
EV201102,FL006944,Cleaning Issue,Low,2025-01-27 19:52:00,4.8
EV201103,FL005017,Crew Issue,Low,2025-05-13 12:55:00,6.7
EV201104,FL006601,Technical Defect,Low,2025-02-02 07:42:00,0.4
EV201105,FL004889,Technical Defect,Low,2025-05-23 09:32:00,8.1
EV201106,FL003400,Fuel Issue,High,2025-06-11 08:12:00,2.7
EV201107,FL005225,Technical Defect,Critical,2025-06-05 21:47:00,2.1
EV201108,FL007298,Technical Defect,Low,2025-10-05 08:29:00,5.4
EV201109,FL000644,Delay,Low,2025-05-04 19:10:00,2.4
EV201110,FL006018,Baggage Issue,Low,2025-05-16 15:56:00,4.2
EV201111,FL002982,Delay,High,2025-07-12 13:37:00,4.2
EV201112,FL006989,Technical Defect,Medium,2025-02-22 20:13:00,13.7
EV201113,FL005401,Crew Issue,Critical,2025-04-01 19:17:00,12.4
EV201114,FL000809,Baggage Issue,Medium,2025-08-18 21:01:00,6.4
EV201115,FL004329,Delay,Low,2025-11-06 11:51:00,1.6
EV201116,FL006869,Technical Defect,High,2025-08-29 19:50:00,4.4
EV201117,FL006446,Technical Defect,High,2025-11-01 08:49:00,1.1
EV201118,FL005639,Delay,Low,2025-03-13 06:24:00,3.0
EV201119,FL000973,Delay,Low,2025-02-04 17:06:00,2.4
EV201120,FL008179,Technical Defect,High,2025-10-24 12:31:00,9.8
EV201121,FL005231,Delay,Critical,2025-01-28 21:02:00,2.6
EV201122,FL006685,Gate Change,Medium,2025-11-20 13:43:00,6.0
EV201123,FL006894,Baggage Issue,Low,2025-06-02 05:12:00,3.3
EV201124,FL008134,Cleaning Issue,Low,2025-01-10 05:44:00,6.1
EV201125,FL005449,Gate Change,Medium,2025-09-01 16:23:00,0.3
EV201126,FL004513,Fuel Issue,Low,2025-12-31 10:08:00,2.9
EV201127,FL000634,Cleaning Issue,Low,2025-08-07 19:57:00,5.9
EV201128,FL001112,Technical Defect,Low,2025-10-21 06:07:00,6.0
EV201129,FL005447,Delay,Medium,2025-03-19 20:05:00,5.0
EV201130,FL007609,Delay,Medium,2025-12-04 21:40:00,2.1
EV201131,FL006986,Baggage Issue,Critical,2025-07-20 06:24:00,5.1
EV201132,FL006993,Delay,Low,2025-10-04 17:19:00,4.6
EV201133,FL001220,Delay,High,2025-01-08 14:01:00,3.5
EV201134,FL003685,Delay,Low,2025-05-09 12:35:00,5.6
EV201135,FL005083,Delay,High,2025-03-03 15:18:00,1.4
EV201136,FL005083,Delay,Medium,2025-12-02 17:02:00,2.8
EV201137,FL003995,Cleaning Issue,Low,2025-04-13 05:51:00,0.7
EV201138,FL007720,Delay,High,2025-07-20 20:57:00,0.8
EV201139,FL001844,Delay,Medium,2025-09-23 05:15:00,1.5
EV201140,FL006870,Cleaning Issue,Medium,2025-04-07 19:24:00,8.9
EV201141,FL003630,Crew Issue,High,2025-10-02 21:21:00,5.9
EV201142,FL005281,Cleaning Issue,Medium,2025-08-28 14:42:00,1.8
EV201143,FL003474,Fuel Issue,Low,2025-02-15 13:16:00,2.5
EV201144,FL002956,Technical Defect,Low,2025-04-04 06:32:00,2.2
EV201145,FL004695,Delay,Low,2025-03-04 11:18:00,4.6
EV201146,FL004403,Fuel Issue,High,2025-03-21 20:16:00,1.4
EV201147,FL006147,Technical Defect,High,2025-03-15 08:08:00,9.9
EV201148,FL000597,Delay,Medium,2025-08-10 10:09:00,10.3
EV201149,FL000796,Crew Issue,Medium,2025-07-27 12:38:00,4.0
EV201150,FL003126,Delay,Low,2025-06-27 16:10:00,2.2
EV201151,FL001654,Delay,High,2025-02-01 11:28:00,7.3
EV201152,FL005888,Baggage Issue,Low,2025-09-22 20:51:00,5.7
EV201153,FL005275,Delay,Medium,2025-10-14 16:41:00,1.2
EV201154,FL001165,Delay,Critical,2025-10-07 19:34:00,3.1
EV201155,FL001011,Baggage Issue,High,2025-09-04 13:34:00,2.9
EV201156,FL006924,Delay,Medium,2025-08-03 17:35:00,0.2
EV201157,FL005399,Cleaning Issue,Medium,2025-09-16 12:36:00,5.3
EV201158,FL007346,Delay,Low,2025-05-17 20:02:00,2.3
EV201159,FL005397,Technical Defect,Low,2025-04-19 10:58:00,3.9
EV201160,FL003318,Fuel Issue,Medium,2025-07-27 07:19:00,6.9
EV201161,FL002766,Delay,High,2025-07-20 06:24:00,3.4
EV201162,FL006834,Fuel Issue,Medium,2025-02-26 16:49:00,5.6
EV201163,FL008122,Fuel Issue,High,2025-04-23 14:06:00,2.9
EV201164,FL003572,Delay,Low,2025-03-02 08:30:00,0.7
EV201165,FL003893,Gate Change,Medium,2025-06-07 13:36:00,8.3
EV201166,FL003268,Delay,High,2025-10-10 20:06:00,8.7
EV201167,FL007901,Cleaning Issue,Medium,2025-02-03 05:54:00,1.1
EV201168,FL000991,Cleaning Issue,Low,2025-08-12 13:10:00,10.6
EV201169,FL001469,Technical Defect,High,2025-03-15 18:49:00,2.5
EV201170,FL006752,Cleaning Issue,Low,2025-07-26 21:38:00,3.1
EV201171,FL007684,Delay,Low,2025-01-31 06:42:00,5.2
EV201172,FL002262,Gate Change,Medium,2025-03-12 15:35:00,4.2
EV201173,FL004735,Delay,Low,2025-08-14 20:36:00,0.4
EV201174,FL002342,Delay,High,2025-12-15 13:51:00,7.5
EV201175,FL008131,Technical Defect,Low,2025-10-21 13:08:00,2.8
EV201176,FL000566,Technical Defect,Low,2025-12-29 16:57:00,2.0
EV201177,FL004911,Delay,High,2025-12-24 12:48:00,4.9
EV201178,FL004858,Technical Defect,Low,2025-07-23 13:22:00,3.8
EV201179,FL007650,Cleaning Issue,Medium,2025-09-07 20:13:00,8.4
EV201180,FL004645,Crew Issue,Medium,2025-06-07 11:41:00,7.9
EV201181,FL002871,Technical Defect,Low,2025-11-09 21:11:00,2.0
EV201182,FL004045,Technical Defect,Low,2025-03-13 16:16:00,2.6
EV201183,FL005199,Fuel Issue,Medium,2025-05-07 16:48:00,1.2
EV201184,FL006980,Gate Change,High,2025-12-09 07:19:00,8.0
EV201185,FL000264,Technical Defect,Medium,2025-10-20 15:54:00,6.5
EV201186,FL005891,Delay,Medium,2025-01-30 17:13:00,2.0
EV201187,FL004790,Cleaning Issue,Medium,2025-03-26 13:25:00,5.9
EV201188,FL001626,Technical Defect,Low,2025-10-23 13:26:00,1.5
EV201189,FL003081,Delay,Low,2025-07-21 20:38:00,4.1
EV201190,FL004555,Fuel Issue,Medium,2025-10-12 15:04:00,4.4
EV201191,FL006769,Baggage Issue,Medium,2025-05-18 17:38:00,3.9
EV201192,FL006911,Fuel Issue,Low,2025-10-14 15:13:00,0.8
EV201193,FL004081,Delay,Low,2025-09-08 12:26:00,5.5
EV201194,FL005735,Cleaning Issue,Medium,2025-07-22 21:02:00,1.7
EV201195,FL004297,Fuel Issue,Medium,2025-08-02 16:42:00,0.9
EV201196,FL005604,Baggage Issue,High,2025-01-18 15:25:00,5.3
EV201197,FL008077,Cleaning Issue,High,2025-10-11 12:34:00,8.6
EV201198,FL000715,Technical Defect,Medium,2025-08-11 05:41:00,0.9
EV201199,FL007315,Technical Defect,Medium,2025-03-27 05:52:00,0.2
EV201200,FL001481,Gate Change,High,2025-02-08 14:07:00,2.0
EV201201,FL007652,Crew Issue,Medium,2025-11-22 08:26:00,4.1
EV201202,FL003396,Baggage Issue,Low,2025-06-11 11:15:00,1.5
EV201203,FL001394,Cleaning Issue,Medium,2025-04-26 14:46:00,4.2
EV201204,FL000381,Technical Defect,Low,2025-11-15 05:39:00,1.9
EV201205,FL007231,Gate Change,High,2025-01-25 08:57:00,1.1
EV201206,FL005962,Technical Defect,Critical,2025-11-16 18:53:00,0.3
EV201207,FL003514,Crew Issue,Low,2025-05-24 13:22:00,7.2
EV201208,FL007657,Baggage Issue,Low,2025-10-15 05:59:00,4.5
EV201209,FL007001,Cleaning Issue,High,2025-01-13 15:33:00,5.4
EV201210,FL001450,Cleaning Issue,High,2025-10-03 06:17:00,0.1
EV201211,FL004178,Gate Change,Medium,2025-08-27 14:09:00,2.5
EV201212,FL005284,Delay,Medium,2025-11-19 10:29:00,8.1
EV201213,FL005477,Gate Change,High,2025-03-12 21:07:00,14.2
EV201214,FL004143,Baggage Issue,Medium,2025-02-09 20:14:00,6.2
EV201215,FL002061,Delay,High,2025-09-27 21:56:00,3.2
EV201216,FL001936,Delay,Low,2025-08-31 09:30:00,1.7
EV201217,FL001599,Fuel Issue,Low,2025-11-27 20:57:00,4.4
EV201218,FL003948,Technical Defect,Medium,2025-10-12 08:16:00,0.5
EV201219,FL004579,Cleaning Issue,Medium,2025-08-03 17:53:00,1.2
EV201220,FL007765,Delay,Low,2025-10-28 17:37:00,2.7
EV201221,FL001178,Cleaning Issue,Low,2025-08-30 11:28:00,6.2
EV201222,FL003902,Baggage Issue,High,2025-02-25 06:15:00,3.4
EV201223,FL005132,Crew Issue,Medium,2025-06-06 12:43:00,5.1
EV201224,FL003536,Gate Change,Low,2025-03-24 09:29:00,4.2
EV201225,FL000269,Gate Change,Low,2025-02-02 19:36:00,2.1
EV201226,FL005543,Crew Issue,High,2025-03-02 17:52:00,0.7
EV201227,FL001643,Delay,Low,2025-06-07 11:41:00,1.6
EV201228,FL006071,Technical Defect,Medium,2025-07-26 10:32:00,3.8
EV201229,FL002261,Cleaning Issue,Medium,2025-05-30 18:18:00,1.6
EV201230,FL005555,Fuel Issue,High,2025-12-23 16:10:00,3.7
EV201231,FL001386,Cleaning Issue,Medium,2025-05-21 14:30:00,9.9
EV201232,FL005079,Crew Issue,Medium,2025-06-26 07:33:00,0.6
EV201233,FL000972,Crew Issue,Medium,2025-08-16 11:42:00,5.2
EV201234,FL002447,Cleaning Issue,High,2025-03-26 11:48:00,0.5
EV201235,FL006274,Crew Issue,Low,2025-07-06 06:51:00,4.4
EV201236,FL002217,Delay,Low,2025-03-25 05:25:00,5.1
EV201237,FL003439,Gate Change,Low,2025-11-27 06:30:00,1.8
EV201238,FL003560,Delay,High,2025-06-15 12:43:00,6.9
EV201239,FL002093,Delay,Medium,2025-10-04 20:19:00,4.5
EV201240,FL004753,Baggage Issue,Low,2025-06-14 08:22:00,11.1
EV201241,FL002503,Cleaning Issue,Low,2025-09-17 20:04:00,2.0
EV201242,FL004334,Delay,Medium,2025-02-17 17:39:00,2.1
EV201243,FL006520,Crew Issue,Low,2025-11-26 12:09:00,0.7
EV201244,FL006178,Technical Defect,Medium,2025-04-23 19:27:00,13.5
EV201245,FL001856,Fuel Issue,Low,2025-06-24 13:34:00,7.2
EV201246,FL005643,Baggage Issue,Medium,2025-10-04 19:18:00,1.0
EV201247,FL006258,Gate Change,Low,2025-12-01 10:01:00,5.1
EV201248,FL004604,Technical Defect,Medium,2025-07-13 06:03:00,9.3
EV201249,FL005996,Technical Defect,Low,2025-06-01 16:55:00,2.1
EV201250,FL003443,Technical Defect,Medium,2025-06-22 10:33:00,1.8
EV201251,FL000555,Baggage Issue,Medium,2025-04-17 20:04:00,0.5
EV201252,FL004734,Technical Defect,High,2025-05-22 07:26:00,6.6
EV201253,FL007443,Technical Defect,Medium,2025-10-16 05:39:00,1.7
EV201254,FL003958,Gate Change,Medium,2025-09-12 17:54:00,0.8
EV201255,FL004634,Delay,Medium,2025-10-19 18:33:00,4.8
EV201256,FL005532,Delay,Low,2025-04-24 06:55:00,0.6
EV201257,FL006889,Delay,Medium,2025-05-30 08:37:00,4.0
EV201258,FL004036,Fuel Issue,Low,2025-02-04 15:57:00,0.9
EV201259,FL002614,Fuel Issue,Medium,2025-08-19 06:18:00,5.3
