work_order_id,aircraft_id,opened_date,maintenance_type,priority,status,technician_hours,parts_cost_eur,downtime_hours
WO100321,OH-A130,2025-10-01,Unscheduled,Low,Closed,5.3,1776.85,4.9
WO100322,OH-A134,2025-12-02,Inspection,High,Closed,1.7,1500.95,13.2
WO100323,OH-A136,2025-01-05,Component Replacement,Low,Closed,10.2,580.05,11.5
WO100324,OH-A117,2025-11-27,Scheduled,Medium,Closed,8.9,322.67,3.8
WO100325,OH-A140,2025-04-01,Inspection,High,Closed,3.6,341.88,16.0
WO100326,OH-A131,2025-10-06,Scheduled,Low,Closed,8.3,606.39,10.4
WO100327,OH-A127,2025-08-04,Component Replacement,Critical,In Progress,3.0,385.05,15.9
WO100328,OH-A110,2025-09-27,Scheduled,Medium,In Progress,8.3,368.44,20.6
WO100329,OH-A140,2025-02-12,Unscheduled,High,Closed,7.5,158.45,4.5
WO100330,OH-A136,2025-08-08,Scheduled,High,Closed,12.3,788.92,10.0
WO100331,OH-A142,2025-12-19,Unscheduled,High,Open,7.4,543.35,3.0
WO100332,OH-A116,2025-10-17,Inspection,Low,In Progress,3.4,189.37,15.8
WO100333,OH-A126,2025-10-19,Unscheduled,Medium,Closed,6.2,1788.29,2.4
WO100334,OH-A102,2025-03-07,Unscheduled,Medium,Closed,4.9,496.97,3.6
WO100335,OH-A128,2025-04-11,Cabin,Medium,Closed,11.9,97.12,5.8
WO100336,OH-A124,2025-10-26,Scheduled,High,Closed,2.3,1037.84,8.2
WO100337,OH-A139,2025-05-28,Unscheduled,Medium,Closed,6.1,205.89,13.6
WO100338,OH-A135,2025-07-26,Inspection,Medium,Closed,3.3,267.79,2.6
WO100339,OH-A147,2025-03-03,Engine,Medium,Open,13.5,334.65,9.9
WO100340,OH-A144,2025-10-13,Scheduled,Low,Closed,6.4,956.44,5.6
WO100341,OH-A108,2025-06-12,Unscheduled,Medium,Closed,7.7,380.8,8.0
WO100342,OH-A146,2025-06-30,Engine,Low,Closed,4.9,748.71,17.6
WO100343,OH-A101,2025-12-14,Inspection,Medium,Closed,8.4,83.63,8.8
WO100344,OH-A121,2025-08-19,Engine,Low,Closed,3.4,133.84,11.4
WO100345,OH-A144,2025-06-10,Scheduled,High,Closed,3.5,416.53,1.8
WO100346,OH-A129,2025-05-05,Scheduled,Low,Closed,11.8,195.36,4.9
WO100347,OH-A147,2025-08-08,Inspection,Medium,Closed,18.6,328.87,8.2
WO100348,OH-A126,2025-06-04,Scheduled,Medium,Closed,1.8,850.55,3.1
WO100349,OH-A132,2025-03-24,Unscheduled,Medium,Closed,4.1,180.7,2.3
WO100350,OH-A125,2025-05-14,Scheduled,Medium,Open,9.9,193.38,5.0
WO100351,OH-A144,2025-04-15,Unscheduled,High,Closed,7.5,450.21,8.2
WO100352,OH-A105,2025-09-28,Cabin,Low,Closed,3.7,48.12,13.1
WO100353,OH-A118,2025-07-03,Cabin,Medium,Closed,4.8,1104.97,13.1
WO100354,OH-A132,2025-03-15,Unscheduled,Medium,Closed,3.9,459.5,7.6
WO100355,OH-A123,2025-02-24,Scheduled,Medium,Closed,8.1,442.77,8.9
WO100356,OH-A146,2025-12-06,Cabin,High,Closed,3.7,235.26,2.8
WO100357,OH-A127,2025-11-21,Inspection,Medium,Closed,4.8,803.57,23.5
WO100358,OH-A106,2025-10-30,Inspection,Low,Closed,8.8,343.29,18.8
WO100359,OH-A129,2025-09-26,Engine,Medium,Closed,6.8,1374.9,10.3
WO100360,OH-A114,2025-11-11,Unscheduled,Medium,Closed,10.7,72.9,6.8
WO100361,OH-A122,2025-08-25,Unscheduled,Low,In Progress,3.6,429.78,15.5
WO100362,OH-A103,2025-11-30,Engine,Medium,Closed,4.7,420.89,23.7
WO100363,OH-A141,2025-12-02,Unscheduled,Medium,Closed,3.4,550.75,11.2
WO100364,OH-A119,2025-06-09,Component Replacement,High,Closed,4.3,1641.98,13.2
WO100365,OH-A138,2025-04-01,Cabin,Low,Closed,2.5,,5.8
WO100366,OH-A123,2025-11-22,Unscheduled,Medium,Closed,1.1,100.03,3.2
WO100367,OH-A145,2025-10-29,Cabin,Medium,Closed,2.2,283.42,7.7
WO100368,OH-A117,2025-06-12,Unscheduled,Low,In Progress,9.1,60.79,12.1
WO100369,OH-A105,2025-11-28,Cabin,Medium,Closed,2.4,4050.31,2.7
WO100370,OH-A122,2025-02-07,Unscheduled,Medium,Closed,7.3,1026.0,22.6
WO100371,OH-A101,2025-10-27,Scheduled,Medium,In Progress,4.4,676.72,11.5
WO100372,OH-A138,2025-01-19,Component Replacement,High,In Progress,4.9,882.62,13.1
WO100373,OH-A144,2025-02-07,Cabin,Low,Closed,2.5,1438.02,1.8
WO100374,OH-A110,2025-01-24,Component Replacement,Medium,Open,4.0,218.19,6.0
WO100375,OH-A102,2025-01-30,Component Replacement,Low,Closed,6.5,281.18,8.9
WO100376,OH-A136,2025-03-10,Cabin,Low,Closed,2.4,568.09,3.7
WO100377,OH-A133,2025-05-13,Inspection,Medium,Closed,3.8,243.66,28.2
WO100378,OH-A138,2025-05-12,Cabin,Medium,Closed,5.9,159.57,18.1
WO100379,OH-A127,2025-06-03,Scheduled,Medium,Closed,7.4,237.57,9.2
WO100380,OH-A127,2025-12-24,Scheduled,Medium,Closed,5.0,590.94,14.2
WO100381,OH-A113,2025-07-06,Scheduled,Medium,Closed,13.8,1003.71,6.8
WO100382,OH-A115,2025-03-30,Cabin,Medium,Closed,5.8,113.2,16.3
WO100383,OH-A130,2025-02-20,Scheduled,Low,Closed,8.3,333.7,7.8
WO100384,OH-A144,2025-11-30,Unscheduled,Medium,Closed,6.5,382.21,21.7
WO100385,OH-A114,2025-04-11,Scheduled,High,Closed,4.5,100.42,5.5
WO100386,OH-A117,2025-10-23,Scheduled,High,Closed,1.6,631.97,3.1
WO100387,OH-A128,2025-10-16,Inspection,Low,Closed,8.9,362.46,8.3
WO100388,OH-A102,2025-11-11,Scheduled,Medium,Closed,8.8,157.82,5.1
WO100389,OH-A131,2025-02-23,Cabin,Medium,Closed,13.5,249.05,11.3
WO100390,OH-A106,2025-10-14,Cabin,High,Open,4.5,689.01,4.5
WO100391,OH-A132,2025-10-13,Inspection,Low,Closed,16.3,1072.63,28.2
WO100392,OH-A142,2025-12-22,Unscheduled,Low,Closed,8.5,566.56,3.0
WO100393,OH-A143,2025-09-16,Cabin,High,Closed,10.7,2713.79,11.6
WO100394,OH-A107,2025-02-13,Unscheduled,Low,In Progress,2.6,1230.76,6.7
WO100395,OH-A128,2025-06-17,Scheduled,Critical,Closed,6.1,700.19,19.8
WO100396,OH-A121,2025-06-24,Unscheduled,Medium,Closed,12.3,199.79,7.0
WO100397,OH-A123,2025-06-22,Unscheduled,Medium,Closed,2.6,1250.32,7.0
WO100398,OH-A133,2025-05-06,Inspection,Low,Closed,0.6,187.05,6.6
WO100399,OH-A147,2025-10-20,Unscheduled,High,In Progress,4.3,851.33,11.8
WO100400,OH-A127,2025-04-14,Engine,Low,Closed,13.9,35.02,6.5
WO100401,OH-A126,2025-06-12,Inspection,Medium,Open,11.3,246.22,5.9
WO100402,OH-A131,2025-06-13,Scheduled,Low,Closed,5.7,99.71,2.9
WO100403,OH-A124,2025-08-23,Unscheduled,Low,Open,3.8,303.01,4.7
WO100404,OH-A116,2025-06-25,Component Replacement,Medium,Closed,7.8,86.56,14.0
WO100405,OH-A139,2025-12-21,Scheduled,Low,Closed,11.3,415.12,5.2
WO100406,OH-A131,2025-12-26,Scheduled,Medium,Closed,8.5,643.6,9.5
WO100407,OH-A127,2025-06-19,Component Replacement,Medium,Open,12.2,210.59,2.0
WO100408,OH-A100,2025-04-07,Unscheduled,Medium,Closed,12.3,292.94,13.6
WO100409,OH-A113,2025-10-05,Scheduled,Medium,Closed,7.4,502.44,31.9
WO100410,OH-A112,2025-11-29,Unscheduled,Low,Closed,8.8,384.87,3.6
WO100411,OH-A131,2025-11-20,Inspection,High,Closed,6.5,1552.97,4.3
WO100412,OH-A105,2025-03-02,Scheduled,Low,Closed,1.7,203.29,7.2
WO100413,OH-A118,2025-01-20,Component Replacement,Medium,Closed,6.6,690.37,2.3
WO100414,OH-A121,2025-08-31,Unscheduled,High,Closed,2.7,523.34,3.9
WO100415,OH-A135,2025-04-20,Scheduled,High,Closed,2.4,82.37,13.1
WO100416,OH-A106,2025-04-22,Engine,Low,Closed,9.9,440.22,8.5
WO100417,OH-A129,2025-01-11,Inspection,Medium,Closed,4.1,369.86,8.5
WO100418,OH-A126,2025-12-17,Cabin,High,Closed,5.1,246.56,2.0
WO100419,OH-A135,2025-01-01,Scheduled,High,Closed,3.1,2378.75,3.0
WO100420,OH-A108,2025-08-20,Unscheduled,Medium,Open,3.5,1458.27,6.1
WO100421,OH-A128,2025-12-04,Inspection,Low,Closed,5.6,188.17,18.0
WO100422,OH-A119,2025-01-24,Cabin,Medium,Closed,6.9,761.52,5.9
WO100423,OH-A112,2025-08-13,Component Replacement,Critical,Closed,5.4,848.85,9.7
WO100424,OH-A103,2025-12-04,Inspection,Low,Closed,7.7,466.79,5.2
WO100425,OH-A118,2025-05-30,Component Replacement,High,Closed,9.1,134.54,8.4
WO100426,OH-A121,2025-04-18,Scheduled,Medium,Closed,2.0,155.66,23.3
WO100427,OH-A102,2025-09-15,Component Replacement,Medium,Closed,7.9,683.95,10.8
WO100428,OH-A138,2025-12-05,Inspection,Low,Closed,6.6,669.71,7.1
WO100429,OH-A133,2025-07-23,Scheduled,Low,Closed,6.6,303.27,12.6
WO100430,OH-A115,2025-01-05,Scheduled,Medium,Closed,2.8,1503.84,12.3
WO100431,OH-A102,2025-09-07,Scheduled,High,Closed,4.6,1796.19,11.5
WO100432,OH-A133,2025-03-21,Scheduled,Medium,Closed,8.3,1775.11,6.0
WO100433,OH-A101,2025-12-27,Scheduled,Medium,Closed,2.5,1782.68,2.6
WO100434,OH-A120,2025-04-12,Scheduled,Critical,Closed,18.0,397.09,7.7
WO100435,OH-A109,2025-08-21,Inspection,Medium,Closed,10.0,106.18,4.0
WO100436,OH-A111,2025-09-09,Unscheduled,High,Closed,3.3,292.25,3.6
WO100437,OH-A136,2025-06-12,Scheduled,Low,Closed,4.9,359.67,9.6
WO100438,OH-A114,2025-10-19,Inspection,Low,Closed,2.3,214.92,8.2
WO100439,OH-A111,2025-11-24,Scheduled,Medium,Closed,10.2,275.66,12.5
WO100440,OH-A114,2025-08-18,Unscheduled,Critical,In Progress,5.4,127.04,11.4
WO100441,OH-A107,2025-10-03,Cabin,Medium,Closed,6.8,824.22,12.3
WO100442,OH-A135,2025-01-23,Component Replacement,Low,Closed,6.0,2055.55,29.3
WO100443,OH-A123,2025-03-30,Inspection,Critical,Closed,8.6,4367.72,6.0
WO100444,OH-A109,2025-06-08,Inspection,High,Closed,3.2,517.1,11.0
WO100445,OH-A114,2025-02-17,Scheduled,Medium,Closed,20.7,339.81,9.5
WO100446,OH-A146,2025-06-30,Unscheduled,Medium,Closed,8.6,388.79,1.9
WO100447,OH-A127,2025-01-27,Unscheduled,Medium,Closed,9.2,1573.71,7.6
WO100448,OH-A132,2025-05-11,Unscheduled,Low,Closed,7.1,1547.34,3.6
WO100449,OH-A141,2025-01-23,Cabin,Medium,Closed,3.2,317.16,13.9
WO100450,OH-A119,2025-06-03,Component Replacement,Low,Closed,4.9,1344.06,5.7
WO100451,OH-A116,2025-05-29,Inspection,Medium,Open,4.5,474.19,4.7
WO100452,OH-A147,2025-06-26,Component Replacement,Medium,Closed,11.2,193.34,17.6
WO100453,OH-A127,2025-12-28,Component Replacement,Medium,Closed,3.4,345.63,10.2
WO100454,OH-A110,2025-07-22,Unscheduled,High,Closed,6.2,2215.17,11.7
WO100455,OH-A141,2025-02-23,Engine,Medium,In Progress,2.6,830.22,9.7
WO100456,OH-A136,2025-08-19,Inspection,Medium,Closed,8.5,243.04,3.9
WO100457,OH-A119,2025-12-24,Component Replacement,Low,Closed,3.9,1030.02,2.9
WO100458,OH-A113,2025-03-18,Scheduled,Low,Closed,9.0,823.79,11.6
WO100459,OH-A131,2025-01-30,Inspection,Low,Closed,10.5,295.91,16.5
WO100460,OH-A126,2025-11-26,Unscheduled,Low,Open,15.7,191.21,7.0
WO100461,OH-A111,2025-03-04,Scheduled,Medium,Closed,5.5,132.78,16.8
WO100462,OH-A102,2025-10-30,Inspection,Medium,Closed,7.0,77.92,7.1
WO100463,OH-A139,2025-06-06,Cabin,High,Closed,5.9,209.71,6.2
WO100464,OH-A140,2025-10-15,Component Replacement,Low,Closed,4.8,337.75,9.2
WO100465,OH-A143,2025-09-18,Scheduled,Low,Closed,9.8,1422.48,4.5
WO100466,OH-A117,2025-10-22,Scheduled,High,Closed,4.6,919.91,13.0
WO100467,OH-A133,2025-10-05,Unscheduled,Low,Closed,8.7,491.03,17.4
WO100468,OH-A128,2025-07-11,Scheduled,Medium,Closed,0.9,61.94,3.9
WO100469,OH-A112,2025-03-31,Scheduled,Medium,Closed,3.9,542.0,6.0
WO100470,OH-A144,2025-12-14,Scheduled,Medium,Closed,9.9,77.83,17.3
WO100471,OH-A116,2025-03-10,Unscheduled,Low,Closed,6.1,966.03,5.1
WO100472,OH-A101,2025-05-14,Scheduled,Low,In Progress,10.7,993.74,4.9
WO100473,OH-A107,2025-04-13,Scheduled,Critical,Open,6.2,424.5,21.3
WO100474,OH-A146,2025-06-03,Engine,High,Closed,9.5,913.1,23.9
WO100475,OH-A103,2025-04-02,Cabin,Medium,Closed,3.9,1112.32,9.8
WO100476,OH-A125,2025-10-25,Engine,Low,Closed,8.8,450.15,9.3
WO100477,OH-A123,2025-06-09,Scheduled,Medium,Closed,7.9,349.01,24.4
WO100478,OH-A137,2025-11-14,Scheduled,Medium,Closed,5.7,106.83,17.9
WO100479,OH-A139,2025-01-12,Inspection,Low,Closed,9.6,282.85,24.9
WO100480,OH-A122,2025-06-13,Component Replacement,Critical,Closed,10.5,148.92,5.6
WO100481,OH-A130,2025-08-02,Inspection,Critical,Closed,9.1,147.43,6.7
WO100482,OH-A139,2025-11-06,Engine,Low,In Progress,9.8,193.85,1.7
WO100483,OH-A138,2025-09-24,Unscheduled,Low,Closed,7.9,56.74,2.0
WO100484,OH-A142,2025-08-20,Cabin,Medium,Open,3.0,1074.22,2.3
WO100485,OH-A133,2025-11-05,Component Replacement,Medium,Open,6.6,502.2,6.8
WO100486,OH-A118,2025-05-22,Scheduled,Medium,Closed,5.8,1288.04,4.5
WO100487,OH-A126,2025-12-16,Unscheduled,Medium,Closed,7.4,899.6,9.7
WO100488,OH-A134,2025-11-27,Inspection,Medium,Closed,10.5,664.38,5.4
WO100489,OH-A114,2025-11-28,Scheduled,Low,Closed,9.3,892.68,19.8
WO100490,OH-A147,2025-07-03,Unscheduled,Low,Closed,9.0,469.1,4.2
WO100491,OH-A121,2025-02-04,Inspection,Medium,Open,1.3,1487.82,1.6
WO100492,OH-A136,2025-11-06,Inspection,Medium,Closed,5.9,242.32,2.9
WO100493,OH-A124,2025-06-01,Engine,High,Closed,4.8,395.39,18.2
WO100494,OH-A145,2025-10-24,Scheduled,Low,Closed,8.4,305.15,4.3
WO100495,OH-A132,2025-01-21,Cabin,High,Closed,11.9,3032.23,13.6
WO100496,OH-A135,2025-02-05,Unscheduled,Medium,Closed,7.2,214.47,9.5
WO100497,OH-A137,2025-05-08,Cabin,Medium,Closed,2.6,1462.28,16.5
WO100498,OH-A115,2025-11-14,Scheduled,Low,Closed,6.2,103.2,21.1
WO100499,OH-A116,2025-01-12,Unscheduled,Medium,Closed,0.5,445.98,10.1
WO100500,OH-A139,2025-03-01,Cabin,Medium,Closed,10.0,336.44,10.3
WO100501,OH-A122,2025-06-30,Scheduled,High,Closed,4.7,145.35,1.0
WO100502,OH-A131,2025-10-25,Engine,Low,Closed,11.1,207.59,9.0
WO100503,OH-A124,2025-02-26,Unscheduled,Medium,Closed,11.3,667.18,6.0
WO100504,OH-A101,2025-10-03,Unscheduled,Medium,Closed,12.6,288.17,12.5
WO100505,OH-A122,2025-06-28,Inspection,Medium,Closed,4.7,153.67,13.6
WO100506,OH-A108,2025-09-27,Scheduled,Low,Open,16.8,990.07,3.2
WO100507,OH-A104,2025-09-20,Inspection,Low,Closed,11.1,394.97,7.6
WO100508,OH-A112,2025-12-03,Scheduled,Medium,Closed,4.9,561.84,19.0
WO100509,OH-A114,2025-01-22,Component Replacement,Medium,Closed,11.8,1203.73,13.6
WO100510,OH-A135,2025-08-08,Inspection,Low,Closed,4.8,1892.8,10.9
WO100511,OH-A112,2025-06-16,Scheduled,Low,Closed,7.6,41.01,12.0
WO100512,OH-A138,2025-05-04,Scheduled,Medium,Open,8.8,362.33,0.9
WO100513,OH-A110,2025-09-28,Inspection,Critical,Closed,8.4,75.42,8.6
WO100514,OH-A139,2025-08-05,Scheduled,Medium,Closed,4.0,6161.39,5.2
WO100515,OH-A125,2025-06-12,Inspection,High,Closed,12.4,469.07,21.1
WO100516,OH-A103,2025-09-12,Cabin,Medium,Closed,10.2,1067.59,29.2
WO100517,OH-A105,2025-07-29,Scheduled,Medium,Closed,14.4,215.49,5.3
WO100518,OH-A103,2025-05-14,Unscheduled,Critical,Closed,12.2,282.75,22.8
WO100519,OH-A119,2025-05-03,Cabin,Low,Closed,11.0,1211.2,13.0
WO100520,OH-A114,2025-04-03,Cabin,High,Closed,11.1,675.27,0.9
WO100521,OH-A102,2025-04-19,Scheduled,Low,Closed,8.8,2159.71,19.3
WO100522,OH-A132,2025-06-28,Engine,Medium,Closed,6.0,175.14,16.4
WO100523,OH-A140,2025-03-07,Scheduled,Critical,Closed,9.0,324.39,8.6
WO100524,OH-A140,2025-11-24,Component Replacement,High,Closed,3.8,673.94,13.1
WO100525,OH-A107,2025-08-01,Unscheduled,High,Closed,11.8,785.0,14.1
WO100526,OH-A141,2025-08-19,Scheduled,High,Closed,19.5,613.56,21.0
WO100527,OH-A120,2025-07-29,Unscheduled,Medium,Closed,9.2,107.43,21.2
WO100528,OH-A109,2025-11-24,Scheduled,Medium,Closed,5.1,157.18,6.4
WO100529,OH-A106,2025-10-26,Unscheduled,Medium,Closed,3.5,567.71,4.8
WO100530,OH-A136,2025-06-23,Unscheduled,Low,Closed,5.8,86.2,5.2
WO100531,OH-A112,2025-05-06,Cabin,Medium,Closed,11.2,166.33,4.7
WO100532,OH-A130,2025-12-12,Inspection,Low,Closed,8.5,418.77,6.6
WO100533,OH-A126,2025-08-07,Inspection,High,Closed,7.6,185.66,6.8
WO100534,OH-A144,2025-10-16,Scheduled,Medium,In Progress,6.2,507.39,4.4
WO100535,OH-A134,2025-02-20,Cabin,Low,Closed,8.1,368.85,7.7
WO100536,OH-A137,2025-05-10,Unscheduled,Medium,In Progress,2.5,183.43,19.2
WO100537,OH-A123,2025-04-07,Scheduled,High,Closed,5.4,187.82,9.0
WO100538,OH-A125,2025-06-13,Inspection,critical,Closed,5.2,1447.93,3.2
WO100539,OH-A107,2025-07-03,Unscheduled,Medium,Closed,5.3,592.37,5.5
WO100540,OH-A137,2025-12-31,Scheduled,Medium,Closed,10.1,516.63,24.5
WO100541,OH-A136,2025-02-08,Unscheduled,Low,Closed,2.3,426.18,18.5
WO100542,OH-A114,2025-12-15,Unscheduled,High,Open,5.3,162.81,4.5
WO100543,OH-A106,2025-10-24,Scheduled,High,Closed,6.9,229.44,21.1
WO100544,OH-A137,2025-05-30,Component Replacement,Low,Closed,6.1,36.57,14.3
WO100545,OH-A137,2025-04-13,Scheduled,Low,Closed,6.3,213.47,23.2
WO100546,OH-A137,2025-11-01,Scheduled,Low,Closed,2.2,217.09,2.2
WO100547,OH-A101,2025-02-19,Scheduled,Medium,Closed,8.0,698.27,5.7
WO100548,OH-A141,2025-11-29,Unscheduled,Low,Closed,2.7,220.71,14.9
WO100549,OH-A117,2025-12-11,Scheduled,High,Closed,3.4,885.27,11.6
WO100550,OH-A111,2025-04-02,Scheduled,Medium,Closed,10.1,311.15,21.9
WO100551,OH-A125,2025-07-24,Scheduled,Medium,Closed,6.9,468.03,16.7
WO100552,OH-A140,2025-07-08,Cabin,Medium,Closed,4.7,391.04,2.0
WO100553,OH-A139,2025-10-07,Scheduled,Medium,Closed,17.0,812.23,12.8
WO100554,OH-A108,2025-10-04,Scheduled,Medium,Closed,5.4,1347.77,17.4
WO100555,OH-A146,2025-12-30,Inspection,High,Closed,3.4,150.35,3.8
WO100556,OH-A137,2025-01-29,Unscheduled,Medium,Closed,1.9,2343.57,9.7
WO100557,OH-A144,2025-10-26,Scheduled,Low,Closed,11.1,171.27,4.3
WO100558,OH-A144,2025-10-22,Cabin,Low,Closed,9.6,335.54,11.2
WO100559,OH-A125,2025-09-28,Inspection,High,Closed,6.6,237.71,7.5
WO100560,OH-A101,2025-03-19,Unscheduled,Low,Closed,4.1,1822.12,8.9
WO100561,OH-A103,2025-09-29,Inspection,Low,Closed,8.7,139.65,17.4
WO100562,OH-A130,2025-06-24,Component Replacement,Medium,Closed,9.4,826.78,6.3
WO100563,OH-A104,2025-04-12,Scheduled,High,Closed,0.9,44.33,7.0
WO100564,OH-A131,2025-05-17,Cabin,Medium,Closed,3.3,910.36,7.3
WO100565,OH-A104,2025-06-01,Scheduled,High,Closed,10.2,333.19,10.5
WO100566,OH-A139,2025-09-28,Unscheduled,Low,In Progress,2.8,277.41,6.4
WO100567,OH-A112,2025-03-15,Scheduled,High,In Progress,5.3,202.01,4.9
WO100568,OH-A104,2025-03-27,Inspection,Medium,Closed,6.2,377.44,15.1
WO100569,OH-A116,2025-05-16,Engine,Critical,Closed,4.0,282.88,7.0
WO100570,OH-A143,2025-06-20,Inspection,Medium,Closed,7.0,90.84,8.2
WO100571,OH-A126,2025-12-12,Scheduled,Medium,Closed,4.0,184.04,13.4
WO100572,OH-A147,2025-04-07,Component Replacement,High,In Progress,3.3,896.42,5.9
WO100573,OH-A112,2025-11-27,Cabin,High,Closed,2.6,269.71,3.1
WO100574,OH-A132,2025-01-21,Scheduled,Low,Closed,2.6,182.99,20.7
WO100575,OH-A108,2025-07-06,Scheduled,Low,Closed,11.0,422.63,11.5
WO100576,OH-A120,2025-11-04,Inspection,Medium,Closed,9.1,657.6,8.8
WO100577,OH-A118,2025-04-24,Component Replacement,Low,Closed,6.8,772.89,9.4
WO100578,OH-A130,2025-03-23,Scheduled,Medium,In Progress,6.2,565.6,23.4
WO100579,OH-A132,2025-08-09,Scheduled,Low,Closed,16.8,1351.48,13.5
WO100580,OH-A102,2025-03-26,Inspection,Medium,Closed,10.3,423.76,0.8
WO100581,OH-A133,2025-01-06,Component Replacement,Medium,Closed,12.8,318.59,8.7
WO100582,OH-A136,2025-01-18,Scheduled,Low,Closed,6.4,966.28,9.4
WO100583,OH-A118,2025-06-24,Inspection,Medium,In Progress,3.9,198.64,8.8
WO100584,OH-A103,2025-07-03,Engine,Medium,Closed,3.2,269.3,1.7
WO100585,OH-A120,2025-01-10,Scheduled,Critical,Closed,3.6,82.02,3.7
WO100586,OH-A115,2025-04-09,Unscheduled,Low,Closed,4.3,2474.73,2.2
WO100587,OH-A138,2025-10-04,Unscheduled,High,Closed,6.3,3246.71,25.7
WO100588,OH-A106,2025-07-26,Component Replacement,Critical,Closed,6.9,338.65,9.0
WO100589,OH-A114,2025-08-12,Inspection,Medium,Closed,5.3,865.64,10.0
WO100590,OH-A134,2025-09-22,Engine,Medium,Open,4.9,812.05,7.7
WO100591,OH-A145,2025-11-26,Inspection,Low,Closed,2.8,487.55,2.5
WO100592,OH-A128,2025-01-17,Scheduled,Medium,Closed,17.1,1360.33,4.4
WO100593,OH-A100,2025-06-26,Unscheduled,Low,Closed,2.4,113.88,4.9
WO100594,OH-A133,2025-03-15,Unscheduled,Medium,Closed,14.4,335.34,25.8
WO100595,OH-A101,2025-09-01,Inspection,High,Closed,5.3,50.06,7.9
WO100596,OH-A103,2025-05-23,Cabin,Low,Closed,5.2,146.78,5.8
WO100597,OH-A132,2025-02-26,Unscheduled,Medium,Closed,4.0,79.39,16.8
WO100598,OH-A117,2025-11-18,Inspection,Medium,Closed,8.8,64.21,7.0
WO100599,OH-A101,2025-07-08,Scheduled,Medium,Closed,3.4,245.82,3.1
WO100600,OH-A119,2025-02-10,Inspection,Medium,Closed,6.4,581.08,4.4
WO100601,OH-A118,2025-03-24,Component Replacement,Medium,Closed,8.2,207.42,16.7
WO100602,OH-A128,2025-09-29,Component Replacement,Medium,Closed,1.4,233.9,6.0
WO100603,OH-A145,2025-06-21,Cabin,Low,Closed,4.4,193.5,10.6
WO100604,OH-A104,2025-12-15,Cabin,Medium,In Progress,17.7,464.24,7.9
WO100605,OH-A131,2025-01-19,Unscheduled,Medium,Closed,4.2,220.41,14.1
WO100606,OH-A131,2025-01-29,Engine,Low,Closed,3.7,147.44,7.1
WO100607,OH-A146,2025-09-09,Component Replacement,Medium,Closed,4.7,1024.87,5.0
WO100608,OH-A118,2025-05-02,Inspection,Medium,Closed,19.9,168.62,4.3
WO100609,OH-A107,2025-11-16,Scheduled,Medium,Closed,14.5,113.09,15.0
WO100610,OH-A143,2025-10-08,Cabin,Medium,In Progress,6.0,845.49,5.8
WO100611,OH-A102,2025-01-09,Cabin,Medium,Closed,10.9,74.9,10.2
WO100612,OH-A121,2025-12-08,Unscheduled,High,Closed,5.9,1379.33,18.4
WO100613,OH-A131,2025-12-15,Unscheduled,Medium,Open,6.5,144.6,8.9
WO100614,OH-A104,2025-04-01,Scheduled,Medium,Closed,7.8,437.1,11.4
WO100615,OH-A114,2025-08-12,Scheduled,Medium,Open,9.5,149.22,5.9
WO100616,OH-A104,2025-08-23,Engine,Medium,In Progress,4.7,408.69,7.1
WO100617,OH-A140,2025-01-14,Unscheduled,High,Closed,3.6,239.61,18.7
WO100618,OH-A112,2025-09-25,Inspection,Medium,Open,8.1,151.03,14.0
WO100619,OH-A128,2025-12-20,Unscheduled,Low,Closed,2.9,81.16,7.7
WO100620,OH-A111,2025-05-28,Inspection,Medium,Closed,5.8,234.92,8.9
WO100621,OH-A133,2025-12-26,Component Replacement,Low,Closed,5.5,648.75,7.4
WO100622,OH-A138,2025-09-02,Cabin,Medium,Closed,1.8,791.85,13.0
WO100623,OH-A101,2025-09-26,Unscheduled,Critical,Closed,3.6,196.65,5.6
WO100624,OH-A134,2025-07-20,Unscheduled,Medium,Closed,5.9,197.11,13.0
WO100625,OH-A131,2025-09-10,Scheduled,Medium,Closed,0.6,338.89,22.9
WO100626,OH-A103,2025-12-09,Engine,Low,Closed,10.2,403.98,9.6
WO100627,OH-A112,2025-08-04,Engine,Medium,Closed,3.4,402.11,3.4
WO100628,OH-A140,2025-07-16,Unscheduled,Medium,Closed,8.7,261.42,8.1
WO100629,OH-A121,2025-03-03,Scheduled,High,Closed,4.3,279.91,21.7
WO100630,OH-A104,2025-07-08,Inspection,Medium,Closed,15.9,302.7,8.9
WO100631,OH-A130,2025-11-12,Component Replacement,Critical,In Progress,6.1,36.05,4.0
WO100632,OH-A137,2025-09-02,Component Replacement,Medium,Closed,1.2,268.92,7.8
WO100633,OH-A120,2025-09-19,Scheduled,Low,Open,9.5,881.95,19.6
WO100634,OH-A105,2025-02-25,Cabin,Medium,Closed,4.3,1624.97,5.6
WO100635,OH-A106,2025-11-06,Inspection,Low,Closed,13.5,1308.23,19.8
WO100636,OH-A118,2025-07-13,Inspection,Low,Closed,22.1,441.46,7.4
WO100637,OH-A123,2025-06-16,Scheduled,Low,In Progress,3.5,122.87,32.5
WO100638,OH-A136,2025-01-19,Scheduled,Medium,Closed,4.0,233.3,6.1
WO100639,OH-A132,2025-11-22,Scheduled,Low,Open,11.7,188.33,4.7
WO100640,OH-A112,2025-08-17,Unscheduled,Critical,Closed,5.1,98.59,1.0
WO100641,OH-A133,2025-04-24,Cabin,High,Closed,12.4,157.26,8.3
